"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"성남시",932867,462086,470781,931626,461504,470122,931654,461565,470089
"수정구",238336,120625,117711,237729,120292,117437,236873,119857,117016
"중원구",215314,109100,106214,215212,109064,106148,214767,108857,105910
"분당구",479217,232361,246856,478685,232148,246537,480014,232851,247163
"의정부시",461077,227112,233965,460923,227073,233850,461523,227380,234143
"안양시",551189,272626,278563,550750,272348,278402,549903,271857,278046
"만안구",238231,119297,118934,238331,119314,119017,238391,119318,119073
"동안구",312958,153329,159629,312419,153034,159385,311512,152539,158973
"부천시",812158,402851,409307,811225,402337,408888,810742,402000,408742
"광명시",295690,145859,149831,295742,145900,149842,295852,145948,149904
"평택시",546154,283450,262704,548131,284559,263572,549901,285580,264321
"송탄출장소",0,0,0,0,0,0,0,0,0
"안중출장소",0,0,0,0,0,0,0,0,0
"동두천시",93289,46610,46679,93292,46606,46686,93354,46626,46728
"안산시",655816,336479,319337,655555,336303,319252,655115,336051,319064
"상록구",353702,180526,173176,353575,180419,173156,353174,180215,172959
"단원구",302114,155953,146161,301980,155884,146096,301941,155836,146105
"고양시",1080736,529062,551674,1080656,529030,551626,1080507,528924,551583
"덕양구",479828,237074,242754,480156,237211,242945,480386,237312,243074
"일산동구",300407,146147,154260,300437,146195,154242,300326,146160,154166
"일산서구",300501,145841,154660,300063,145624,154439,299795,145452,154343
"과천시",68955,33846,35109,69027,33887,35140,69276,34036,35240
"구리시",195324,96900,98424,194838,96640,98198,194389,96457,97932
"남양주시",721767,359354,362413,723215,360076,363139,724183,360473,363710
"풍양출장소",0,0,0,0,0,0,0,0,0
"오산시",230769,119513,111256,230702,119532,111170,230705,119561,111144
"시흥시",510098,266410,243688,510833,266839,243994,511314,267078,244236
"군포시",271007,134427,136580,270754,134288,136466,270584,134167,136417
"의왕시",162227,80714,81513,162239,80710,81529,162215,80667,81548
"하남시",301801,151429,150372,302681,151874,150807,305908,153427,152481
